https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1670976000,2022-12-14 00:00:00,BTC/USDT,17774,18371,17671,17799,264.79880535,4713153.93642465
1670889600,2022-12-13 00:00:00,BTC/USDT,17228,18000,17088,17777,109.81211653,1952129.99555381
1670803200,2022-12-12 00:00:00,BTC/USDT,17083,17225,16867,17205,8.91535903,153388.75211114998
1670716800,2022-12-11 00:00:00,BTC/USDT,17122,17257,17076,17097,5.50201147,94067.89010259
1670630400,2022-12-10 00:00:00,BTC/USDT,17134,17203,17102,17125,3.37443189,57787.14611625
1670544000,2022-12-09 00:00:00,BTC/USDT,17217,17337,17037,17147,6.75688868,115860.37019596
1670457600,2022-12-08 00:00:00,BTC/USDT,16834,17281,16750,17219,13.08285282,225273.64270758
1670371200,2022-12-07 00:00:00,BTC/USDT,17078,17122,16741,16829,9.21673315,155108.40218135
1670284800,2022-12-06 00:00:00,BTC/USDT,16966,17100,16911,17073,7.07839385,120849.41820105001
1670198400,2022-12-05 00:00:00,BTC/USDT,17094,17421,16881,16961,23.09913521,391784.43229681
1670112000,2022-12-04 00:00:00,BTC/USDT,16945,17194,16916,17115,30.33343789,519156.78948735
1670025600,2022-12-03 00:00:00,BTC/USDT,17098,17136,16861,16892,3.93170296,66414.32640032
1669939200,2022-12-02 00:00:00,BTC/USDT,16975,17088,16800,17078,20.79782145,355185.1947231
1669852800,2022-12-01 00:00:00,BTC/USDT,17169,17250,16864,16975,37.41098737,635051.51060575
1669766400,2022-11-30 00:00:00,BTC/USDT,16454,17249,16429,17184,53.90096679,926234.2133193599
1669680000,2022-11-29 00:00:00,BTC/USDT,16215,16537,16107,16449,36.01154960,592353.9793704001
1669593600,2022-11-28 00:00:00,BTC/USDT,16433,16487,16006,16211,40.65192000,659008.27512
1669507200,2022-11-27 00:00:00,BTC/USDT,16458,16598,16420,16430,25.13979594,413046.8472942
1669420800,2022-11-26 00:00:00,BTC/USDT,16521,16692,16389,16454,41.88744467,689216.01460018
1669334400,2022-11-25 00:00:00,BTC/USDT,16595,16626,16360,16517,55.21356600,911962.469622
1669248000,2022-11-24 00:00:00,BTC/USDT,16612,16822,16470,16618,102.25706510,1699307.9078318002
1669161600,2022-11-23 00:00:00,BTC/USDT,16215,16670,16172,16670,72.39876305,1206887.3800435
1669075200,2022-11-22 00:00:00,BTC/USDT,15781,16329,15637,16181,45.64648351,738605.7496753101
1668988800,2022-11-21 00:00:00,BTC/USDT,16285,16286,15485,15789,49.40614254,780073.58456406
1668902400,2022-11-20 00:00:00,BTC/USDT,16703,16748,16189,16279,44.78457080,729048.0280532
1668816000,2022-11-19 00:00:00,BTC/USDT,16695,16816,16545,16704,137.00128129,2288469.40266816
1668729600,2022-11-18 00:00:00,BTC/USDT,16693,17000,16552,16703,25.22851008,421391.80386623996
1668643200,2022-11-17 00:00:00,BTC/USDT,16675,16752,16411,16693,23.90568011,399057.51807622996
1668556800,2022-11-16 00:00:00,BTC/USDT,16900,17000,16394,16662,251.86742815,4196615.0878353
1668470400,2022-11-15 00:00:00,BTC/USDT,16592,17121,16540,16900,133.19957343,2251072.7909669997
1668384000,2022-11-14 00:00:00,BTC/USDT,16320,17162,15836,16614,166.54681941,2767008.85767774
1668297600,2022-11-13 00:00:00,BTC/USDT,16786,16950,16285,16336,52.35793558,855319.23563488
1668211200,2022-11-12 00:00:00,BTC/USDT,17063,17118,16629,16789,34.27448539,575434.3352127101
1668124800,2022-11-11 00:00:00,BTC/USDT,17569,17787,16400,17030,99.85303923,1700497.2580869
1668038400,2022-11-10 00:00:00,BTC/USDT,15964,18036,15823,17517,239.36878765,4193023.05326505
1667952000,2022-11-09 00:00:00,BTC/USDT,18509,18571,15621,15930,188.99730283,3010727.0340819
1667865600,2022-11-08 00:00:00,BTC/USDT,20596,20666,17180,18541,280.54442500,5201574.183925
1667779200,2022-11-07 00:00:00,BTC/USDT,20905,21050,20400,20597,53.02128169,1092079.33896893
1667692800,2022-11-06 00:00:00,BTC/USDT,21302,21362,20884,20905,24.04541728,502669.4482384
1667606400,2022-11-05 00:00:00,BTC/USDT,21155,21459,21080,21293,23.39526447,498155.36635971
1667520000,2022-11-04 00:00:00,BTC/USDT,20200,21244,20184,21153,57.24573261,1210918.98189933
1667433600,2022-11-03 00:00:00,BTC/USDT,20148,20391,20031,20200,39.58381715,799593.10643
1667347200,2022-11-02 00:00:00,BTC/USDT,20486,20801,20066,20151,62.58085830,1261066.8756033
1667260800,2022-11-01 00:00:00,BTC/USDT,20484,20672,20352,20482,21.49563005,440273.4946841
1667174400,2022-10-31 00:00:00,BTC/USDT,20642,20832,20266,20497,25.65054455,525759.21164135
1667088000,2022-10-30 00:00:00,BTC/USDT,20812,20922,20519,20595,37.68305313,776082.47921235
1667001600,2022-10-29 00:00:00,BTC/USDT,20587,21039,20571,20814,87.44656638,1820112.8326333198
1666915200,2022-10-28 00:00:00,BTC/USDT,20263,20735,20000,20600,36.38602638,749552.1434279999
1666828800,2022-10-27 00:00:00,BTC/USDT,20758,20850,20216,20257,20.02811491,405709.52373187
1666742400,2022-10-26 00:00:00,BTC/USDT,20125,21000,20125,20776,30.43909557,632402.64956232
1666656000,2022-10-25 00:00:00,BTC/USDT,19307,20400,19259,20066,32.13526336,644826.1945817601
1666569600,2022-10-24 00:00:00,BTC/USDT,19544,19544,19171,19337,32.53754932,629178.59120084
1666483200,2022-10-23 00:00:00,BTC/USDT,19202,19685,19090,19544,14.91547848,291508.11141312
1666396800,2022-10-22 00:00:00,BTC/USDT,19170,19246,19140,19199,9.76925332,187559.89449068002
1666310400,2022-10-21 00:00:00,BTC/USDT,19044,19240,18660,19166,66.06320096,1266167.30959936
1666224000,2022-10-20 00:00:00,BTC/USDT,19159,19320,18936,19000,20.55843218,390610.21142
1666137600,2022-10-19 00:00:00,BTC/USDT,19328,19344,19076,19115,10.17380955,194472.36954825
1666051200,2022-10-18 00:00:00,BTC/USDT,19546,19700,19100,19332,10.56068423,204159.14753436
1665964800,2022-10-17 00:00:00,BTC/USDT,19259,19645,19172,19548,13.47925261,263492.43002028
1665878400,2022-10-16 00:00:00,BTC/USDT,19063,19420,19063,19250,11.97929319,230601.3939075
1665792000,2022-10-15 00:00:00,BTC/USDT,19184,19208,19000,19057,4.74147867,90358.35901419
1665705600,2022-10-14 00:00:00,BTC/USDT,19377,19938,19100,19176,23.39534024,448629.04444224
1665619200,2022-10-13 00:00:00,BTC/USDT,19160,19500,18000,19428,46.91359044,911437.23506832
1665532800,2022-10-12 00:00:00,BTC/USDT,19063,19224,19014,19152,17.03813077,326314.28050704
1665446400,2022-10-11 00:00:00,BTC/USDT,19122,19203,18883,19058,25.56541560,487225.6905048
1665360000,2022-10-10 00:00:00,BTC/USDT,19418,19517,19065,19144,18.09981889,346502.93283016
1665273600,2022-10-09 00:00:00,BTC/USDT,19425,19539,19335,19436,9.13840275,177613.99584899997
1665187200,2022-10-08 00:00:00,BTC/USDT,19556,19609,19283,19389,13.11950742,254374.12936638
1665100800,2022-10-07 00:00:00,BTC/USDT,19981,20045,19355,19574,15.72692591,307838.84776234
1665014400,2022-10-06 00:00:00,BTC/USDT,20191,20400,19867,19931,30.50951721,608085.18751251
1664928000,2022-10-05 00:00:00,BTC/USDT,20157,20300,19748,20157,20.07988430,404750.22783509997
1664841600,2022-10-04 00:00:00,BTC/USDT,19575,20457,19515,20359,51.07300864,1039795.3829017599
1664755200,2022-10-03 00:00:00,BTC/USDT,19181,19710,19142,19638,20.60885350,404716.665033
1664668800,2022-10-02 00:00:00,BTC/USDT,19299,19324,18941,18942,3.09297195,58587.074676899996
1664582400,2022-10-01 00:00:00,BTC/USDT,19452,19452,19173,19308,13.31095557,257007.93014556
1664496000,2022-09-30 00:00:00,BTC/USDT,19610,20100,19154,19432,23.01846812,447294.87250784005
1664409600,2022-09-29 00:00:00,BTC/USDT,19411,19636,18880,19603,22.51057706,441274.84210718
1664323200,2022-09-28 00:00:00,BTC/USDT,19098,19768,18495,19407,27.06403069,525231.64360083
1664236800,2022-09-27 00:00:00,BTC/USDT,19400,20351,18830,19153,51.91575250,994342.4076325
1664150400,2022-09-26 00:00:00,BTC/USDT,18889,19300,18732,19236,13.30596446,255953.53235256
1664064000,2022-09-25 00:00:00,BTC/USDT,18947,19156,18700,18786,8.09144179,152005.82546693998
1663977600,2022-09-24 00:00:00,BTC/USDT,19270,19281,18868,18903,3.79973825,71826.45213974999
1663891200,2022-09-23 00:00:00,BTC/USDT,19410,19461,18548,19370,8.75346381,169554.59399969998
1663804800,2022-09-22 00:00:00,BTC/USDT,18456,19520,18391,19484,13.10353514,255309.27866776
1663718400,2022-09-21 00:00:00,BTC/USDT,18923,19850,18180,18496,17.64723726,326403.30036096
1663632000,2022-09-20 00:00:00,BTC/USDT,19542,19550,18733,18871,6.50268526,122712.17354146
1663545600,2022-09-19 00:00:00,BTC/USDT,19418,19670,18325,19634,26.07910612,512037.16956008
1663459200,2022-09-18 00:00:00,BTC/USDT,20011,20073,19360,19360,2.59165163,50174.3755568
1663372800,2022-09-17 00:00:00,BTC/USDT,19814,20121,19800,20011,3.81357007,76313.35067077
1663286400,2022-09-16 00:00:00,BTC/USDT,19715,19840,19376,19734,14.99432540,295898.0174436
1663200000,2022-09-15 00:00:00,BTC/USDT,20227,20239,19545,19710,39.30760919,774752.9771349
1663113600,2022-09-14 00:00:00,BTC/USDT,20174,20528,19682,20201,12.80534922,258680.85959322
1663027200,2022-09-13 00:00:00,BTC/USDT,22410,22751,19895,20216,26.51032710,535932.7726536001
1662940800,2022-09-12 00:00:00,BTC/USDT,21804,22438,21563,22315,28.32955426,632174.0033119
1662854400,2022-09-11 00:00:00,BTC/USDT,21687,21868,21391,21799,5.20092806,113375.03077994
1662768000,2022-09-10 00:00:00,BTC/USDT,21339,21782,21156,21724,8.98856136,195267.50698464
1662681600,2022-09-09 00:00:00,BTC/USDT,19334,21620,19334,21365,29.66350185,633760.71702525
1662595200,2022-09-08 00:00:00,BTC/USDT,19315,19370,19087,19308,8.37093848,161626.08017184
1662508800,2022-09-07 00:00:00,BTC/USDT,18775,19442,18541,19379,4.28950565,83126.32999135
1662422400,2022-09-06 00:00:00,BTC/USDT,19781,20155,18742,18848,22.51996989,424456.39248672
1662336000,2022-09-05 00:00:00,BTC/USDT,20010,20046,19657,19768,13.90890701,274951.27377368
1662249600,2022-09-04 00:00:00,BTC/USDT,19786,20000,19598,19999,7.98496675,159691.35003325
1662163200,2022-09-03 00:00:00,BTC/USDT,19959,20030,19683,19707,7.43692642,146559.50895894
1662076800,2022-09-02 00:00:00,BTC/USDT,20123,20415,19773,19963,26.26532546,524334.6921579799
1661990400,2022-09-01 00:00:00,BTC/USDT,20047,20185,19585,20116,52.17751498,1049602.89133768
1661904000,2022-08-31 00:00:00,BTC/USDT,19876,20392,19876,20041,70.92989331,1421505.99182571
1661817600,2022-08-30 00:00:00,BTC/USDT,20222,20493,19607,19798,9.82702234,194555.38828731998
1661731200,2022-08-29 00:00:00,BTC/USDT,19576,20378,19576,20300,3.87137173,78588.846119
1661644800,2022-08-28 00:00:00,BTC/USDT,20043,20141,19552,19552,7.36876881,144074.16777312
1661558400,2022-08-27 00:00:00,BTC/USDT,20299,20360,19800,20024,13.69617690,274252.2462456
1661472000,2022-08-26 00:00:00,BTC/USDT,21557,21841,20144,20238,33.19628608,671826.43768704
1661385600,2022-08-25 00:00:00,BTC/USDT,21355,21743,21321,21568,3.38984800,73112.241664
1661299200,2022-08-24 00:00:00,BTC/USDT,21522,22222,21165,21365,39.29162160,839465.495484
1661212800,2022-08-23 00:00:00,BTC/USDT,21418,21645,20899,21520,6.63918483,142875.2575416
1661126400,2022-08-22 00:00:00,BTC/USDT,21421,21522,20903,21405,4.93482266,105629.8790373
1661040000,2022-08-21 00:00:00,BTC/USDT,21262,21749,21073,21539,5.94044707,127951.28944073
1660953600,2022-08-20 00:00:00,BTC/USDT,21105,21331,20994,21129,4.67109027,98695.46631482999
1660867200,2022-08-19 00:00:00,BTC/USDT,23080,23083,20885,20910,61.96295462,1295645.3811042
1660780800,2022-08-18 00:00:00,BTC/USDT,23338,23548,23146,23197,0.74153788,17201.45420236
